epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8515,2.13823,2.47263,2.00267,0.09496,0.10577,0.03627,0.01085,2.91632,6.82855,3.25691,0.0701,0.00332222,0.00332222
2,101.674,2.1704,2.41337,2.08077,0.29018,0.20726,0.15547,0.05569,2.41724,11.7524,2.31112,0.0400736,0.0066292,0.0066292
3,147.01,2.09437,2.26946,2.02453,0.28279,0.23291,0.18631,0.06476,2.4802,2.56004,2.40195,0.0100209,0.00990978,0.00990978
4,191.7,2.03705,2.19245,1.96036,0.34479,0.31197,0.23306,0.09069,2.31765,2.55257,2.29624,0.0098812,0.0098812,0.0098812
5,236.475,1.99625,2.08297,1.92451,0.45608,0.40278,0.38142,0.17445,1.98916,2.27655,1.97134,0.0098416,0.0098416,0.0098416
6,280.933,1.95241,2.01426,1.90007,0.48636,0.40491,0.39607,0.17421,2.02752,2.08904,2.0162,0.009802,0.009802,0.009802
7,325.212,1.9384,1.98735,1.88266,0.36874,0.2703,0.25259,0.10922,2.37063,2.43424,2.3704,0.0097624,0.0097624,0.0097624
8,369.967,1.9202,1.92249,1.85813,0.55569,0.42949,0.43529,0.19473,2.02899,1.99934,2.01884,0.0097228,0.0097228,0.0097228
9,414.37,1.89232,1.92244,1.84102,0.55223,0.37607,0.40666,0.1806,2.04958,2.07609,2.05058,0.0096832,0.0096832,0.0096832
10,458.877,1.88914,1.90608,1.84853,0.54291,0.40919,0.41705,0.19623,1.99629,2.06563,1.99088,0.0096436,0.0096436,0.0096436
11,503.162,1.88499,1.91771,1.83263,0.55989,0.42094,0.45714,0.21433,1.93811,1.9532,1.9728,0.009604,0.009604,0.009604
12,547.535,1.86777,1.87858,1.82206,0.55034,0.46795,0.46701,0.22628,1.89708,1.84858,1.90269,0.0095644,0.0095644,0.0095644
13,592.117,1.84035,1.82763,1.81044,0.56744,0.42842,0.4526,0.22029,1.93489,2.03716,1.99396,0.0095248,0.0095248,0.0095248
