epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.568,1.8867,2.50899,1.72024,0.41904,0.38838,0.32925,0.13745,2.05285,2.38314,1.93507,0.000665556,0.000665556,0.000665556
2,234.881,1.94882,2.17207,1.79935,0.46018,0.36612,0.33344,0.14097,2.14869,2.35552,2.0217,0.00132695,0.00132695,0.00132695
3,349.238,1.94029,2.06442,1.81492,0.42658,0.34936,0.34587,0.14664,2.11351,2.22258,2.03104,0.00198306,0.00198306,0.00198306
4,463.326,1.91784,2.00223,1.79296,0.54669,0.44066,0.45693,0.21643,1.95195,1.92651,1.89462,0.00197624,0.00197624,0.00197624
5,576.428,1.87565,1.94039,1.7686,0.55351,0.47863,0.48432,0.2218,1.95304,1.89732,1.86495,0.00196832,0.00196832,0.00196832
6,690.145,1.85672,1.88858,1.73159,0.62943,0.48504,0.53186,0.25204,1.88989,1.84035,1.82167,0.0019604,0.0019604,0.0019604
7,802.896,1.81675,1.78491,1.70741,0.60416,0.49145,0.51108,0.23747,1.91551,1.74575,1.81241,0.00195248,0.00195248,0.00195248
8,915.81,1.81765,1.78751,1.70952,0.65789,0.48718,0.54038,0.25579,1.89571,1.78825,1.87768,0.00194456,0.00194456,0.00194456
9,1028.84,1.8025,1.75687,1.71532,0.64317,0.49038,0.54712,0.27321,1.87908,1.75609,1.81668,0.00193664,0.00193664,0.00193664
10,1141.7,1.75206,1.65875,1.66755,0.62957,0.49145,0.53408,0.27002,1.83531,1.71679,1.78331,0.00192872,0.00192872,0.00192872
11,1254.31,1.76296,1.68524,1.68145,0.62992,0.51816,0.56571,0.295,1.79954,1.65747,1.75236,0.0019208,0.0019208,0.0019208
12,1367.52,1.72258,1.62685,1.65004,0.66326,0.4798,0.54581,0.28587,1.80895,1.61886,1.77684,0.00191288,0.00191288,0.00191288
13,1481.54,1.73344,1.65551,1.66181,0.65295,0.55983,0.59002,0.31223,1.75885,1.57695,1.70134,0.00190496,0.00190496,0.00190496
14,1594.87,1.71844,1.60991,1.6351,0.66285,0.50641,0.56372,0.28274,1.86561,1.65339,1.7978,0.00189704,0.00189704,0.00189704
15,1708.55,1.68608,1.56239,1.62053,0.65333,0.56377,0.59687,0.30176,1.83314,1.54385,1.76456,0.00188912,0.00188912,0.00188912
16,1822.23,1.71672,1.5827,1.63512,0.68575,0.53098,0.59437,0.3055,1.80981,1.59455,1.76593,0.0018812,0.0018812,0.0018812
17,1935.15,1.70188,1.59635,1.61967,0.66031,0.53846,0.59388,0.30276,1.82877,1.63294,1.78735,0.00187328,0.00187328,0.00187328
18,2048.79,1.68828,1.51599,1.61139,0.68306,0.56873,0.63323,0.34254,1.74941,1.48747,1.70969,0.00186536,0.00186536,0.00186536
19,2162.99,1.67841,1.55544,1.61196,0.6746,0.60043,0.64116,0.34291,1.73421,1.4631,1.69852,0.00185744,0.00185744,0.00185744
20,2277.53,1.66659,1.50896,1.60662,0.69328,0.54594,0.6076,0.32491,1.75869,1.5363,1.73246,0.00184952,0.00184952,0.00184952
21,2391.79,1.64508,1.49089,1.59498,0.67364,0.55876,0.63539,0.33999,1.7488,1.48252,1.70078,0.0018416,0.0018416,0.0018416
22,2505.97,1.63544,1.47803,1.58736,0.71108,0.59081,0.64411,0.34991,1.6806,1.48089,1.68095,0.00183368,0.00183368,0.00183368
23,2619.96,1.64448,1.47272,1.58085,0.67003,0.5844,0.62742,0.34006,1.73313,1.52097,1.68246,0.00182576,0.00182576,0.00182576
24,2734.43,1.63784,1.45073,1.57184,0.71604,0.57923,0.65312,0.34855,1.74857,1.39929,1.68457,0.00181784,0.00181784,0.00181784
25,2848.01,1.63846,1.45757,1.58478,0.67491,0.57692,0.62641,0.33367,1.70615,1.49058,1.69517,0.00180992,0.00180992,0.00180992
26,2961.28,1.61006,1.40117,1.56523,0.65848,0.61218,0.65013,0.35714,1.70353,1.42053,1.68128,0.001802,0.001802,0.001802
27,3074.7,1.59432,1.41287,1.55318,0.70176,0.61218,0.66581,0.36355,1.67385,1.41928,1.65249,0.00179408,0.00179408,0.00179408
28,3187.9,1.59194,1.40796,1.55758,0.72734,0.55876,0.65287,0.35775,1.70671,1.45314,1.68371,0.00178616,0.00178616,0.00178616
29,3301.77,1.58004,1.35814,1.54648,0.66392,0.63248,0.6767,0.36812,1.66143,1.359,1.6487,0.00177824,0.00177824,0.00177824
30,3414.63,1.60073,1.39933,1.57102,0.74041,0.59422,0.68654,0.3734,1.69054,1.37776,1.66202,0.00177032,0.00177032,0.00177032
31,3527.74,1.55731,1.35348,1.52088,0.69452,0.60577,0.67879,0.3768,1.64125,1.36717,1.62978,0.0017624,0.0017624,0.0017624
32,3641.22,1.56204,1.33667,1.52306,0.74075,0.58611,0.67794,0.34946,1.7361,1.39069,1.68359,0.00175448,0.00175448,0.00175448
33,3754.38,1.55003,1.36102,1.53,0.72287,0.60043,0.68937,0.37376,1.66998,1.34763,1.67652,0.00174656,0.00174656,0.00174656
34,3868.35,1.56647,1.34448,1.52715,0.74494,0.6047,0.69859,0.38498,1.63608,1.31187,1.624,0.00173864,0.00173864,0.00173864
35,3982.17,1.56111,1.32214,1.52717,0.74704,0.63101,0.70693,0.38718,1.66325,1.30117,1.63761,0.00173072,0.00173072,0.00173072
36,4095.98,1.55358,1.30177,1.52422,0.69108,0.6015,0.68314,0.37332,1.70379,1.35163,1.66544,0.0017228,0.0017228,0.0017228
37,4210.42,1.53057,1.29384,1.5042,0.75718,0.64423,0.72102,0.40675,1.60703,1.26772,1.61955,0.00171488,0.00171488,0.00171488
38,4323.98,1.52653,1.2987,1.50234,0.68803,0.62714,0.68059,0.37838,1.65857,1.36292,1.65637,0.00170696,0.00170696,0.00170696
39,4437.18,1.51781,1.28341,1.50817,0.75931,0.62821,0.72038,0.39396,1.66787,1.29788,1.65008,0.00169904,0.00169904,0.00169904
40,4550.81,1.51754,1.2697,1.50502,0.66975,0.68033,0.70055,0.40567,1.60554,1.24814,1.60566,0.00169112,0.00169112,0.00169112
41,4664.68,1.51651,1.28834,1.5027,0.73161,0.66984,0.72787,0.41514,1.59497,1.24127,1.60159,0.0016832,0.0016832,0.0016832
42,4778.82,1.50507,1.27892,1.49566,0.75414,0.64957,0.71585,0.39912,1.61406,1.27178,1.59291,0.00167528,0.00167528,0.00167528
43,4891.64,1.49633,1.26407,1.49291,0.80255,0.6557,0.74004,0.42178,1.587,1.21675,1.59482,0.00166736,0.00166736,0.00166736
44,5004.9,1.49095,1.21222,1.47406,0.77639,0.62073,0.71144,0.41651,1.61454,1.21826,1.61786,0.00165944,0.00165944,0.00165944
45,5117.95,1.50154,1.24169,1.48032,0.74849,0.65919,0.73055,0.4167,1.55482,1.20065,1.56185,0.00165152,0.00165152,0.00165152
46,5231.56,1.49096,1.24771,1.47111,0.76567,0.66346,0.72875,0.42075,1.5678,1.21218,1.57622,0.0016436,0.0016436,0.0016436
47,5344.37,1.46837,1.21095,1.46492,0.75907,0.66987,0.72222,0.41522,1.59291,1.23953,1.60563,0.00163568,0.00163568,0.00163568
48,5457.93,1.4707,1.22525,1.47031,0.77179,0.6453,0.72091,0.41644,1.56013,1.22498,1.57238,0.00162776,0.00162776,0.00162776
49,5571.12,1.49151,1.23709,1.48151,0.79539,0.64103,0.72624,0.42295,1.60024,1.22079,1.59626,0.00161984,0.00161984,0.00161984
50,5684.12,1.47419,1.20923,1.4671,0.79277,0.64423,0.73385,0.42497,1.59548,1.23105,1.59145,0.00161192,0.00161192,0.00161192
51,5798.01,1.45417,1.18086,1.44856,0.77262,0.65812,0.7348,0.42175,1.58254,1.18722,1.58003,0.001604,0.001604,0.001604
52,5911.77,1.4338,1.16875,1.44092,0.74784,0.66346,0.73814,0.44067,1.5283,1.16468,1.54482,0.00159608,0.00159608,0.00159608
53,6024.81,1.43783,1.1733,1.44324,0.7913,0.66434,0.75235,0.44531,1.52881,1.18285,1.5255,0.00158816,0.00158816,0.00158816
54,6137.91,1.44746,1.16815,1.44083,0.75104,0.65427,0.72904,0.42682,1.58357,1.18859,1.58311,0.00158024,0.00158024,0.00158024
55,6251.61,1.43866,1.16648,1.44542,0.75974,0.69255,0.7576,0.4412,1.53967,1.14604,1.53458,0.00157232,0.00157232,0.00157232
56,6365.54,1.41735,1.14676,1.41612,0.78347,0.68036,0.75218,0.43633,1.56434,1.14069,1.53791,0.0015644,0.0015644,0.0015644
57,6478.98,1.4375,1.14836,1.43488,0.80921,0.68056,0.76601,0.45396,1.53054,1.13023,1.54005,0.00155648,0.00155648,0.00155648
58,6592.55,1.40853,1.1495,1.41291,0.808,0.66541,0.75981,0.44457,1.56853,1.16368,1.56294,0.00154856,0.00154856,0.00154856
59,6706.68,1.40041,1.13798,1.40483,0.7743,0.68697,0.75224,0.44406,1.55357,1.16913,1.55181,0.00154064,0.00154064,0.00154064
60,6820.49,1.41639,1.14292,1.42725,0.79493,0.68269,0.75433,0.4555,1.53881,1.125,1.538,0.00153272,0.00153272,0.00153272
61,6934.43,1.41544,1.13972,1.41505,0.81466,0.67735,0.76165,0.45823,1.51484,1.12544,1.52649,0.0015248,0.0015248,0.0015248
62,7047.23,1.3869,1.12162,1.40897,0.77294,0.70557,0.77406,0.45048,1.53268,1.09481,1.54002,0.00151688,0.00151688,0.00151688
63,7160.35,1.40063,1.11536,1.40946,0.83119,0.64423,0.76259,0.45686,1.54503,1.11767,1.55234,0.00150896,0.00150896,0.00150896
64,7273.02,1.38581,1.10373,1.3971,0.75166,0.69551,0.74794,0.44889,1.51302,1.10802,1.51515,0.00150104,0.00150104,0.00150104
65,7386.08,1.37489,1.10094,1.3934,0.76765,0.7095,0.77409,0.46137,1.52344,1.09874,1.52777,0.00149312,0.00149312,0.00149312
66,7500.06,1.39361,1.08424,1.39703,0.79416,0.70074,0.76396,0.46275,1.50486,1.09624,1.51871,0.0014852,0.0014852,0.0014852
